"X","USDAcode","GPI_status"
864,"PRCL2","invasive"
865,"IPBA2","invasive"
866,"LOTE2","invasive"
867,"PAVI6","invasive"
868,"PHMI3","invasive"
869,"MIDI8","invasive"
870,"HEAL5","invasive"
871,"ANEV","invasive"
872,"TUFA","invasive"
873,"SOCA10","invasive"
874,"TAPA2","invasive"
875,"PHAQ","invasive"
876,"TOAR","invasive"
877,"TRHI4","invasive"
878,"GLMA3","invasive"
879,"PHCA5","invasive"
880,"EUAL13","invasive"
881,"VIVI5","invasive"
882,"EUGR12","invasive"
883,"EULE9","invasive"
884,"CEFO2","invasive"
885,"SIMA3","invasive"
886,"AMTU","invasive"
887,"CUEP","invasive"
888,"CUEP2","invasive"
889,"CAED","invasive"
890,"CAMA","invasive"
891,"PIRI","invasive"
892,"CEDE4","invasive"
893,"PAGL9","invasive"
894,"ALZE","invasive"
895,"COLA5","invasive"
896,"HEFL5","invasive"
897,"NEOL","invasive"
898,"PYCO2","invasive"
899,"VIMA","invasive"
900,"ALPL","invasive"
901,"HEHEC","invasive"
902,"HOCO3","invasive"
903,"NEEX","invasive"
904,"OPMI4","invasive"
905,"PASU4","invasive"
906,"POCO14","invasive"
907,"AVBA","invasive"
908,"CARI2","invasive"
909,"CYEC","invasive"
910,"EHCA","invasive"
911,"EHLO3","invasive"
912,"AVMA3","invasive"
913,"ACPY3","invasive"
914,"BRPI","invasive"
915,"CONU","invasive"
916,"LUAR","invasive"
917,"OLEU","invasive"
918,"PISI","invasive"
919,"BOPE2","invasive"
920,"MISA","invasive"
921,"URBR2","invasive"
922,"TRNA","invasive"
923,"VUBR","invasive"
924,"SOCA3","invasive"
925,"SCCO10","invasive"
926,"SAPU4","invasive"
927,"PITH2","invasive"
928,"PIPO","invasive"
929,"PIMU80","invasive"
930,"PHED4","invasive"
931,"PEAC2","invasive"
932,"LUNO","invasive"
933,"LULU80","invasive"
934,"KADA","invasive"
935,"GEAE","invasive"
936,"CYCA","invasive"
937,"CIVE2","invasive"
938,"ANCA14","invasive"
939,"HELU","invasive"
940,"EUNI5","invasive"
941,"PHTA","invasive"
942,"POMA41","invasive"
943,"PONI","invasive"
944,"PRPA5","invasive"
945,"UTIN","invasive"
946,"ZOMA","invasive"
947,"ELTR2","invasive"
948,"PHNO2","invasive"
949,"VISI","invasive"
950,"VIDI80","invasive"
951,"LIMU6","invasive"
952,"DIPU","invasive"
953,"RUCO6","invasive"
954,"TAPA4","invasive"
955,"PIGL","invasive"
956,"PEHY","invasive"
957,"LYBA4","invasive"
958,"LADE2","invasive"
959,"AMLA9","invasive"
960,"ABPR","invasive"
961,"ABAL3","invasive"
962,"PIPA12","invasive"
963,"PIPE9","invasive"
964,"COSES","invasive"
965,"SYAL","invasive"
966,"SAAU","invasive"
967,"IPIM","invasive"
968,"COCO3","invasive"
969,"DIOP","invasive"
970,"POTR4","invasive"
971,"ACJA","invasive"
972,"PEFR4","invasive"
973,"ARSC4","invasive"
974,"BUSE2","invasive"
975,"AMCA3","invasive"
976,"ANGR2","invasive"
977,"ARSE2","invasive"
978,"BICE","invasive"
979,"CAFL14","invasive"
980,"CEGL2","invasive"
981,"CYDI4","invasive"
982,"CYIR","invasive"
983,"DIMU2","invasive"
984,"EPHI","invasive"
985,"EUHE2","invasive"
986,"FIDI","invasive"
987,"GAVE","invasive"
988,"HYNI","invasive"
989,"JUBU","invasive"
990,"LEMI3","invasive"
991,"LESA2","invasive"
992,"MANE","invasive"
993,"MAQU","invasive"
994,"MESP3","invasive"
995,"NATA2","invasive"
996,"NYAL","invasive"
997,"OEGL","invasive"
998,"STFI6","invasive"
999,"PONA4","invasive"
1000,"PORE6","invasive"
1001,"POSU25","invasive"
1002,"PRTO80","invasive"
